# Sample Apache access.log -- representative web server log for testing
# Simulates: Nikto scan, directory enumeration, normal traffic

192.168.1.100 - - [15/Jan/2024:08:00:01 +0000] "GET /index.html HTTP/1.1" 200 1234 "-" "Mozilla/5.0"
192.168.1.100 - - [15/Jan/2024:08:00:05 +0000] "GET /about.html HTTP/1.1" 200 2345 "-" "Mozilla/5.0"
192.168.1.200 - - [15/Jan/2024:08:30:00 +0000] "GET /login HTTP/1.1" 200 500 "-" "Mozilla/5.0"
192.168.1.200 - - [15/Jan/2024:08:30:15 +0000] "POST /login HTTP/1.1" 302 0 "-" "Mozilla/5.0"
203.0.113.42 - - [15/Jan/2024:09:05:00 +0000] "GET / HTTP/1.1" 200 1234 "-" "Nikto/2.1.6"
203.0.113.42 - - [15/Jan/2024:09:05:01 +0000] "GET /admin HTTP/1.1" 404 500 "-" "Nikto/2.1.6"
203.0.113.42 - - [15/Jan/2024:09:05:02 +0000] "GET /phpinfo.php HTTP/1.1" 404 500 "-" "Nikto/2.1.6"
203.0.113.42 - - [15/Jan/2024:09:05:03 +0000] "GET /wp-admin HTTP/1.1" 404 500 "-" "Nikto/2.1.6"
203.0.113.42 - - [15/Jan/2024:09:05:04 +0000] "GET /.env HTTP/1.1" 404 500 "-" "Nikto/2.1.6"
203.0.113.42 - - [15/Jan/2024:09:05:05 +0000] "GET /config.php HTTP/1.1" 404 500 "-" "Nikto/2.1.6"
203.0.113.42 - - [15/Jan/2024:09:05:06 +0000] "GET /backup.zip HTTP/1.1" 404 500 "-" "Nikto/2.1.6"
203.0.113.42 - - [15/Jan/2024:09:05:07 +0000] "GET /database.sql HTTP/1.1" 404 500 "-" "Nikto/2.1.6"
203.0.113.42 - - [15/Jan/2024:09:05:08 +0000] "GET /phpmyadmin HTTP/1.1" 404 500 "-" "Nikto/2.1.6"
203.0.113.42 - - [15/Jan/2024:09:05:09 +0000] "GET /xmlrpc.php HTTP/1.1" 404 500 "-" "Nikto/2.1.6"
203.0.113.42 - - [15/Jan/2024:09:05:10 +0000] "GET /robots.txt HTTP/1.1" 200 100 "-" "Nikto/2.1.6"
203.0.113.42 - - [15/Jan/2024:09:05:11 +0000] "GET /sitemap.xml HTTP/1.1" 404 500 "-" "Nikto/2.1.6"
203.0.113.42 - - [15/Jan/2024:09:05:12 +0000] "GET /test HTTP/1.1" 404 500 "-" "Nikto/2.1.6"
203.0.113.42 - - [15/Jan/2024:09:05:13 +0000] "GET /old HTTP/1.1" 404 500 "-" "Nikto/2.1.6"
203.0.113.42 - - [15/Jan/2024:09:05:14 +0000] "GET /uploads HTTP/1.1" 404 500 "-" "Nikto/2.1.6"
203.0.113.42 - - [15/Jan/2024:09:05:15 +0000] "GET /api HTTP/1.1" 404 500 "-" "Nikto/2.1.6"
203.0.113.42 - - [15/Jan/2024:09:05:16 +0000] "GET /admin/login HTTP/1.1" 404 500 "-" "Nikto/2.1.6"
203.0.113.42 - - [15/Jan/2024:09:05:17 +0000] "GET /.htaccess HTTP/1.1" 403 450 "-" "Nikto/2.1.6"
203.0.113.42 - - [15/Jan/2024:09:05:18 +0000] "GET /server-status HTTP/1.1" 200 5000 "-" "Nikto/2.1.6"
203.0.113.42 - - [15/Jan/2024:09:05:19 +0000] "GET /cgi-bin/ HTTP/1.1" 403 450 "-" "Nikto/2.1.6"
203.0.113.42 - - [15/Jan/2024:09:05:20 +0000] "GET /etc/passwd HTTP/1.1" 400 500 "-" "Nikto/2.1.6"
192.168.1.100 - - [15/Jan/2024:10:00:00 +0000] "GET /products HTTP/1.1" 200 3000 "-" "Mozilla/5.0"
192.168.1.100 - - [15/Jan/2024:10:00:10 +0000] "GET /products/1 HTTP/1.1" 200 1200 "-" "Mozilla/5.0"
